Series Name,"Series Code","Country Name","Country Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","United Kingdom","GBR","26472.1937143329","27807.1693211993","29062.1238667812","30355.2833801407","32058.4154913466","32747.3540098412","34845.5917720001","35695.2984903994","36863.5847601847","35212.420476946","36576.5865398028","37379.2909657729","38514.0261691783","40218.7472562217","41580.6024876318","42912.8750936201","44635.2995586517","46372.38660351","47573.4880155177","49041.4635475451","46526.9118652819","49675.3046742775"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Switzerland","CHE","36772.6946184421","37896.6969577575","38814.3717381965","38840.8818833536","40336.4089557059","41749.2164457237","46502.9282746387","51208.0988282218","54096.8078629618","53354.0046402285","54858.4480758362","57987.5020305492","59933.5986829168","62225.087267788","64103.0104476336","66020.2043398841","68105.1549836834","69103.570264696","71660.2068398902","72033.9294404588","71731.9605757354","77273.6072371908"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Sweden","SWE","29618.2792561377","29927.5992711839","30926.5055989396","31814.8635093299","33858.6114263449","34244.4650156257","37730.1637455216","40905.1458740502","42158.2956995539","40279.4615973941","42223.9196702844","44608.5802614915","45432.4319692761","46312.3923824667","47184.6691338182","49103.1334338706","50430.2528196052","51947.9542478244","53521.6306428288","54598.7803541484","55064.8850101551","59323.9646115324"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Slovenia","SVN","18001.2291555596","18948.2038933955","20241.5256786998","21112.375224886","22760.9469717198","23852.6430383942","25720.4495520146","27570.1451925507","29604.2914690241","27537.7584612632","27826.8723437553","28931.383323805","29042.8202729641","29973.6993541529","30870.0236667425","31628.247175832","33936.0440637175","36507.5530416531","38961.5443523867","40670.8778673103","39725.259194249","43602.4892030367"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Spain","ESP","21584.2512044454","22949.1818514072","24371.5988492666","25046.1107003124","26143.6321744545","27606.9340516269","30720.2222055087","32469.5304500615","33263.2723985249","32092.3648208603","31682.7131000557","31867.9732396862","31720.1199986535","32434.0032017704","33525.7406299089","34903.1274779473","37286.2134326488","39528.9253872668","40696.3876815487","41695.1469476327","37754.5686281101","40698.6887016"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Slovak Republic","SVK","11376.5559243662","12385.9884335137","13312.203306834","14181.1218408567","15226.3384286297","16639.3941239799","18914.02796042","21222.3803347842","23725.8577558996","23080.5865355505","25302.2327160354","26145.8893829396","26888.3480996682","27915.4332088556","28929.526363289","29964.8886109408","29645.7418912454","30061.5514717196","31214.5925736482","31966.5548434084","31356.458282425","33010.2907484654"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Serbia","SRB","6019.11492628876","6481.9926123849","7224.61832047595","7645.75804710806","8487.57586605175","9181.68830136227","10209.1835204463","11236.1667622503","12631.9839722217","12533.9085653676","12796.9931479843","13740.6650759333","13926.9374697721","14633.3559062731","14661.8229608381","14928.6514419243","15863.1877040975","16614.0141902782","17714.5070534457","18819.8912210182","19173.1960909313","21503.3580905855"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Portugal","PRT","18876.6594757578","19524.8867396317","20356.647299736","20851.0885383283","21477.8261820846","22725.2774946084","24682.718852129","25733.1270889579","26665.8372952939","26458.9110362123","27261.9534524665","26769.5118850004","26438.0163019973","27936.0396644563","28742.4403783509","29660.8960672526","31607.7542431733","33044.7167387479","34928.5435337746","36172.0725393171","34177.085710564","35798.7538504772"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Romania","ROU","5848.10072186576","6518.68192353849","7162.36577844649","7559.92260483531","8990.32564986372","9602.10475909396","11556.6242467632","13700.0208710955","16782.0628000301","16631.7780653748","17354.2753119569","18794.4064105154","19799.3877870591","19682.9295021646","20635.3261471287","21624.8342788811","23912.5076040681","26948.1590499284","29562.3724980694","32069.7098597603","32680.9937438188","35869.6334808844"
"GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","Poland","POL","10672.1210858297","11119.7151496002","11804.2662616752","12288.4628747004","13353.6821006073","13896.7933802514","15152.3360834288","16802.8339050499","18303.3529197977","19239.9284691731","20890.8201586688","22658.3773208624","23589.147574329","24319.8802935067","25316.331544595","26822.6642478408","28165.8365529133","29958.1207092074","32027.6027335558","33728.3943614975","34449.3234051544","37836.7629474715"
