IndicatorCode,country,year, recommended, mandatory, funded
WHS4_543,Austria,2021,0,0,0
WHS4_543,Austria,2020,0,0,0
WHS4_543,Austria,2019,0,0,0
WHS4_543,Austria,2018,0,0,0
WHS4_543,Austria,2017,0,0,0
WHS4_543,Austria,2016,0,0,0
WHS4_543,Austria,2015,0,0,0
WHS4_543,Austria,2014,0,0,0
WHS4_100,Austria,2021,1,0,1
WHS4_117,Austria,2021,1,0,1
WHS4_129,Austria,2021,1,0,1
WHS8_110,Austria,2021,1,0,1
PCV3,Austria,2021,1,0,1
WHS4_544,Austria,2021,1,0,1
ROTAC,Austria,2021,1,0,1
WHS4_100,Austria,2020,1,0,1
WHS4_117,Austria,2020,1,0,1
WHS4_129,Austria,2020,1,0,1
WHS8_110,Austria,2020,1,0,1
PCV3,Austria,2020,1,0,1
WHS4_544,Austria,2020,1,0,1
ROTAC,Austria,2020,1,0,1
WHS4_100,Austria,2019,1,0,1
WHS4_117,Austria,2019,1,0,1
WHS4_129,Austria,2019,1,0,1
WHS8_110,Austria,2019,1,0,1
PCV3,Austria,2019,1,0,1
WHS4_544,Austria,2019,1,0,1
ROTAC,Austria,2019,1,0,1
WHS4_100,Austria,2018,1,0,1
WHS4_117,Austria,2018,1,0,1
WHS4_129,Austria,2018,1,0,1
WHS8_110,Austria,2018,1,0,1
PCV3,Austria,2018,1,0,1
WHS4_544,Austria,2018,1,0,1
ROTAC,Austria,2018,1,0,1
WHS4_100,Austria,2017,1,0,1
WHS4_117,Austria,2017,1,0,1
WHS4_129,Austria,2017,1,0,1
WHS8_110,Austria,2017,1,0,1
PCV3,Austria,2017,1,0,1
WHS4_544,Austria,2017,1,0,1
ROTAC,Austria,2017,1,0,1
WHS4_100,Austria,2016,1,0,1
WHS4_117,Austria,2016,1,0,1
WHS4_129,Austria,2016,1,0,1
WHS8_110,Austria,2016,1,0,1
PCV3,Austria,2016,1,0,1
WHS4_544,Austria,2016,1,0,1
ROTAC,Austria,2016,1,0,1
WHS4_100,Austria,2015,1,0,1
WHS4_117,Austria,2015,1,0,1
WHS4_129,Austria,2015,1,0,1
WHS8_110,Austria,2015,1,0,1
PCV3,Austria,2015,1,0,1
WHS4_544,Austria,2015,1,0,1
ROTAC,Austria,2015,1,0,1
WHS4_100,Austria,2014,1,0,1
WHS4_117,Austria,2014,1,0,1
WHS4_129,Austria,2014,1,0,1
WHS8_110,Austria,2014,1,0,1
PCV3,Austria,2014,1,0,1
WHS4_544,Austria,2014,1,0,1
ROTAC,Austria,2014,1,0,1




